GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.foyer.Services.Universite,UniversiteService,37,0,0,0,7,0,6,0,6,0
Foyer,tn.esprit.foyer.Config,SpringDocConfig,164,0,0,0,44,0,11,0,11,0
Foyer,tn.esprit.foyer.RestControllers,ChambreRestController,41,0,0,0,9,0,8,0,8,0
Foyer,tn.esprit.foyer.RestControllers,ReservationRestController,41,0,0,0,10,0,8,0,8,0
Foyer,tn.esprit.foyer.RestControllers,FoyerRestController,41,0,0,0,10,0,8,0,8,0
Foyer,tn.esprit.foyer.RestControllers,BlocRestController,31,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.foyer.RestControllers,UniversiteRestController,24,0,0,0,7,0,5,0,5,0
Foyer,tn.esprit.foyer.RestControllers,EtudiantRestController,24,0,0,0,7,0,5,0,5,0
Foyer,tn.esprit.foyer,FoyerApplication,8,0,0,0,3,0,2,0,2,0
Foyer,tn.esprit.foyer.Services.Etudiant,EtudiantService,11,26,0,0,2,5,2,4,2,4
Foyer,tn.esprit.foyer.Services.Chambre,ChambreService,435,0,44,0,76,0,41,0,17,0
Foyer,tn.esprit.foyer.Services.Reservation,ReservationService,352,0,18,0,66,0,24,0,14,0
Foyer,tn.esprit.foyer.Services.Foyer,FoyerService,164,0,4,0,32,0,14,0,12,0
Foyer,tn.esprit.foyer.Services.Bloc,BlocService,173,0,10,0,38,0,14,0,9,0
Foyer,tn.esprit.foyer.DAO.Entities,TypeChambre,21,0,0,0,2,0,1,0,1,0
Foyer,tn.esprit.foyer.Schedular,Schedular,16,0,0,0,8,0,4,0,4,0
Foyer,tn.esprit.foyer.Schedular,TestScheduler,8,0,0,0,3,0,2,0,2,0
